algorithm,Index,Category,Descriptor,Group,R2,RMSE,MSE,MAE,Spearman
randomforestregressor,ANDN920101,observable,"['dipeptide_composition', 'sequence_order_coupling_number']",", Composition, Composition, Sequence Order",0.8034303243993444,13.412880498449539,209.23717249999987,10.353249999999994,0.808260851404673
randomforestregressor,ANDN920101,observable,"['geary_autocorrelation', 'sequence_order_coupling_number']",", Autocorrelation, Autocorrelation, Sequence Order",0.8011058848045172,13.70897946506218,203.3738125000001,11.475,0.8085597835955085
randomforestregressor,ANDN920101,observable,"['dipeptide_composition', 'quasi_sequence_order']",", Composition, Composition, Sequence Order",0.793504886056237,13.443600647829049,206.4430637499999,9.947125000000002,0.8630003707380499
randomforestregressor,ANDN920101,observable,"['dipeptide_composition', 'conjoint_triad']",", Composition, Composition, Conjoint Triad",0.792798174172938,12.836787029058186,207.02873624999992,9.87325,0.857096359249284
randomforestregressor,ANDN920101,observable,"['conjoint_triad', 'geary_autocorrelation']",", Conjoint Triad, Conjoint Triad, Autocorrelation",0.7907383145195155,13.757796661094645,215.04741375000003,11.090375,0.8437398225622988
randomforestregressor,ANDN920101,observable,"['dipeptide_composition', 'geary_autocorrelation']",", Composition, Composition, Autocorrelation",0.7897723064360896,13.674788087312345,197.91049750000008,10.646875,0.8121003130910986
randomforestregressor,ANDN920101,observable,"['amino_acid_composition', 'dipeptide_composition']",", Composition, Composition, Composition",0.7890729062929026,13.626206172613578,213.19153124999997,10.278000000000002,0.8791840215130391
randomforestregressor,ANDN920101,observable,"['amino_acid_composition', 'geary_autocorrelation']",", Composition, Composition, Autocorrelation",0.7828920343249335,14.602227570599357,221.65295000000015,11.109875,0.8327944696846407
randomforestregressor,ANDN920101,observable,"['geary_autocorrelation', 'quasi_sequence_order']",", Autocorrelation, Autocorrelation, Sequence Order",0.7782776712313211,14.035610067948877,208.77985374999994,11.024499999999994,0.8344156509726808
randomforestregressor,ANDN920101,observable,"['sequence_order_coupling_number', 'quasi_sequence_order']",", Sequence Order, Sequence Order, Sequence Order",0.7762702096615903,14.920089855339915,231.9093537500001,10.548000000000002,0.8393511149376958
randomforestregressor,ANDN920101,observable,"['amino_acid_composition', 'quasi_sequence_order']",", Composition, Composition, Sequence Order",0.7733245399598143,14.376986275584448,225.0489062499998,10.643875000000005,0.8347078646213808
randomforestregressor,ANDN920101,observable,"['amino_acid_composition', 'conjoint_triad']",", Composition, Composition, Conjoint Triad",0.7684646881378022,13.683866202865772,219.69912499999995,10.254625,0.8371076662955025
randomforestregressor,ANDN920101,observable,"['amino_acid_composition', 'sequence_order_coupling_number']",", Composition, Composition, Sequence Order",0.7677897808911893,15.480329382316842,253.13987625,11.327249999999998,0.8093502727976292
randomforestregressor,ANDN920101,observable,"['conjoint_triad', 'quasi_sequence_order']",", Conjoint Triad, Conjoint Triad, Sequence Order",0.7651048869914345,14.589946658938135,221.48299250000005,10.504125000000002,0.849039464030658
randomforestregressor,ANDN920101,observable,"['conjoint_triad', 'sequence_order_coupling_number']",", Conjoint Triad, Conjoint Triad, Sequence Order",0.7590966104979371,14.866794159315521,244.05241499999997,11.64225,0.7868702952106732
