,Index_ARGP820103amino_acid_compositionconjoint_triad,ARGP820103amino_acid_compositionconjoint_triad
0,ARGP820103_1,0.0
1,ARGP820103_2,0.0
2,ARGP820103_3,0.0
3,ARGP820103_4,0.0
4,ARGP820103_5,0.0
5,ARGP820103_6,0.0
6,ARGP820103_7,0.0
7,ARGP820103_8,0.0
8,ARGP820103_9,0.0
9,ARGP820103_10,0.0
10,ARGP820103_11,0.0
11,ARGP820103_12,0.0
12,ARGP820103_13,0.0
13,ARGP820103_14,0.0
14,ARGP820103_15,0.0
15,ARGP820103_16,0.0
16,ARGP820103_17,0.0
17,ARGP820103_18,0.0
18,ARGP820103_19,0.0
19,ARGP820103_20,0.0
20,ARGP820103_21,0.0
21,ARGP820103_22,0.0
22,ARGP820103_23,0.0
23,ARGP820103_24,0.0
24,ARGP820103_25,0.0
25,ARGP820103_26,0.0
26,ARGP820103_27,0.0
27,ARGP820103_28,0.0
28,ARGP820103_29,0.0
29,ARGP820103_30,0.0
30,ARGP820103_31,0.0
31,ARGP820103_32,0.0
32,ARGP820103_33,0.0
33,ARGP820103_34,0.0
34,ARGP820103_35,0.0
35,ARGP820103_36,0.0
36,ARGP820103_37,0.0
37,ARGP820103_38,0.0
38,ARGP820103_39,0.0
39,ARGP820103_40,0.0
40,ARGP820103_41,0.0
41,ARGP820103_42,0.0
42,ARGP820103_43,0.0
43,ARGP820103_44,0.0
44,ARGP820103_45,0.0
45,ARGP820103_46,0.0
46,ARGP820103_47,0.0
47,ARGP820103_48,0.0
48,ARGP820103_49,0.0
49,ARGP820103_50,0.0
50,ARGP820103_51,0.0
51,ARGP820103_52,0.0
52,ARGP820103_53,0.0
53,ARGP820103_54,0.0
54,ARGP820103_55,0.0
55,ARGP820103_56,0.0
56,ARGP820103_57,0.0
57,ARGP820103_58,0.0
58,ARGP820103_59,0.0
59,ARGP820103_60,0.0
60,ARGP820103_61,0.0
61,ARGP820103_62,0.0
62,ARGP820103_63,0.0
63,ARGP820103_64,0.0
64,ARGP820103_65,0.0
65,ARGP820103_66,0.0
66,ARGP820103_67,0.0
67,ARGP820103_68,0.0
68,ARGP820103_69,0.0
69,ARGP820103_70,0.0
70,ARGP820103_71,0.0
71,ARGP820103_72,0.0
72,ARGP820103_73,0.0
73,ARGP820103_74,0.0
74,ARGP820103_75,0.0
75,ARGP820103_76,0.0
76,ARGP820103_77,0.0
77,ARGP820103_78,0.0
78,ARGP820103_79,0.0
79,ARGP820103_80,0.0
80,ARGP820103_81,0.0
81,ARGP820103_82,0.0
82,ARGP820103_83,0.0
83,ARGP820103_84,0.0
84,ARGP820103_85,0.0
85,ARGP820103_86,0.0
86,ARGP820103_87,0.0
87,ARGP820103_88,0.0
88,ARGP820103_89,0.0
89,ARGP820103_90,0.0
90,ARGP820103_91,0.0
91,ARGP820103_92,0.0
92,ARGP820103_93,0.0
93,ARGP820103_94,0.0
94,ARGP820103_95,0.0
95,ARGP820103_96,0.0
96,ARGP820103_97,0.0
97,ARGP820103_98,0.0
98,ARGP820103_99,0.0
99,ARGP820103_100,0.0
100,ARGP820103_101,0.0
101,ARGP820103_102,0.0
102,ARGP820103_103,0.0
103,ARGP820103_104,0.0
104,ARGP820103_105,0.0
105,ARGP820103_106,0.0
106,ARGP820103_107,0.0
107,ARGP820103_108,0.0
108,ARGP820103_109,0.0
109,ARGP820103_110,0.0
110,ARGP820103_111,0.0
111,ARGP820103_112,0.0
112,ARGP820103_113,0.0
113,ARGP820103_114,0.0
114,ARGP820103_115,0.0
115,ARGP820103_116,0.0
116,ARGP820103_117,0.0
117,ARGP820103_118,0.0
118,ARGP820103_119,0.0
119,ARGP820103_120,0.0
120,ARGP820103_121,-5.4687499997409585e-05
121,ARGP820103_122,0.0005350167410723375
122,ARGP820103_123,0.0
123,ARGP820103_124,0.0
124,ARGP820103_125,0.004764899553566822
125,ARGP820103_126,-0.00048621651785797534
126,ARGP820103_127,0.0
127,ARGP820103_128,0.0
128,ARGP820103_129,-6.308593749658606e-05
129,ARGP820103_130,0.0
130,ARGP820103_131,0.0
131,ARGP820103_132,0.0
132,ARGP820103_133,0.0
133,ARGP820103_134,0.0
134,ARGP820103_135,0.0
135,ARGP820103_136,0.0
136,ARGP820103_137,0.0
137,ARGP820103_138,0.0
138,ARGP820103_139,0.0
139,ARGP820103_140,0.0
140,ARGP820103_141,0.0
141,ARGP820103_142,0.0
142,ARGP820103_143,0.0
143,ARGP820103_144,0.0
144,ARGP820103_145,0.0
145,ARGP820103_146,0.0
146,ARGP820103_147,0.0
147,ARGP820103_148,0.0
148,ARGP820103_149,0.0
149,ARGP820103_150,0.0
150,ARGP820103_151,0.0
151,ARGP820103_152,0.0
152,ARGP820103_153,0.0
153,ARGP820103_154,0.0
154,ARGP820103_155,0.0
155,ARGP820103_156,0.0
156,ARGP820103_157,0.0
157,ARGP820103_158,-4.935825892451791e-05
