,Index_ARGP820103amino_acid_compositionconjoint_triad,ARGP820103amino_acid_compositionconjoint_triad
0,ARGP820103_162,0.0129804408482073
1,ARGP820103_256,0.0083486886160743
2,ARGP820103_125,0.0047648995535668
3,conjoint_triad_101,0.0039582868303489
4,conjoint_triad_23,0.0028235770089297
5,conjoint_triad_100,0.002415597098219
6,amino_acid_composition_16,0.0021754743303734
7,conjoint_triad_68,0.0021114955357025
8,amino_acid_composition_11,0.0020236886160786
9,conjoint_triad_59,0.0016039620535796
10,conjoint_triad_108,0.0015275669642733
11,conjoint_triad_128,0.0014377232142827
12,conjoint_triad_65,0.0011381975446411
13,conjoint_triad_39,0.0010974609374981
14,conjoint_triad_37,0.0008866908482201
15,amino_acid_composition_20,0.0008401785714311
16,amino_acid_composition_10,0.0008216796874981
17,amino_acid_composition_3,0.000744280133934
18,conjoint_triad_268,0.0006793247767911
19,ARGP820103_222,0.0006692243303573
20,amino_acid_composition_2,0.0006484933035728
21,ARGP820103_181,0.0006268694196404
22,conjoint_triad_64,0.000575223214282
23,ARGP820103_122,0.0005350167410723
24,amino_acid_composition_1,0.0004866629464304
25,ARGP820103_126,0.0004862165178579
26,conjoint_triad_15,0.0004791852678555
27,conjoint_triad_120,0.0004791852678543
28,ARGP820103_166,0.0004617745535738
29,conjoint_triad_3,0.0004563895089337
30,ARGP820103_225,0.0004459263392845
31,conjoint_triad_2,0.0004446149553518
32,conjoint_triad_53,0.0004331752232113
33,conjoint_triad_17,0.0004170758928622
34,conjoint_triad_156,0.0003994140625029
35,conjoint_triad_16,0.0003933035714336
36,conjoint_triad_85,0.0003418526785688
37,conjoint_triad_66,0.0003289620535722
38,conjoint_triad_58,0.0003239676339284
39,conjoint_triad_36,0.000322349330362
40,conjoint_triad_107,0.0003134207589309
41,conjoint_triad_71,0.0003075055803549
42,conjoint_triad_164,0.0003048828125002
43,conjoint_triad_148,0.00029907924107
44,conjoint_triad_57,0.0002969587053505
45,conjoint_triad_67,0.0002828125000027
46,conjoint_triad_51,0.0002814732142803
47,amino_acid_composition_19,0.0002770089285698
48,ARGP820103_185,0.0002523158482179
49,conjoint_triad_96,0.0002390345982155
50,conjoint_triad_157,0.0002259207589267
51,conjoint_triad_73,0.0002188616071432
52,conjoint_triad_1,0.0002166852678578
53,conjoint_triad_324,0.0002051618303563
54,amino_acid_composition_13,0.0002016183035714
55,conjoint_triad_261,0.0002005859375014
56,conjoint_triad_8,0.0001969866071449
57,conjoint_triad_296,0.0001865513392821
58,amino_acid_composition_18,0.0001824218750005
59,conjoint_triad_149,0.0001819754464296
60,conjoint_triad_54,0.000175474330351
61,amino_acid_composition_8,0.0001748325892827
62,conjoint_triad_55,0.0001641183035761
63,conjoint_triad_10,0.0001607979910669
64,conjoint_triad_21,0.0001547991071432
65,amino_acid_composition_12,0.0001445312500007
66,conjoint_triad_255,0.0001436383928591
67,conjoint_triad_60,0.0001436383928562
68,conjoint_triad_52,0.0001379185267771
69,conjoint_triad_63,0.0001377790178593
70,conjoint_triad_92,0.000134821428575
71,ARGP820103_229,0.0001172712053626
72,ARGP820103_178,0.0001159040178555
73,conjoint_triad_113,0.0001116350446426
74,ARGP820103_159,0.0001066964285717
75,conjoint_triad_275,0.0001046316964274
76,conjoint_triad_30,9.335937499870532e-05
77,amino_acid_composition_17,8.454241072307634e-05
78,conjoint_triad_9,8.113839285987523e-05
79,conjoint_triad_69,8.102678571451349e-05
80,conjoint_triad_62,8.09709821385441e-05
81,conjoint_triad_143,7.926897321132666e-05
82,ARGP820103_226,7.912946428566426e-05
83,conjoint_triad_38,7.82087053552237e-05
84,conjoint_triad_106,6.5178571427702e-05
85,ARGP820103_129,6.308593749658606e-05
86,amino_acid_composition_6,6.138392856801892e-05
87,ARGP820103_121,5.468749999740959e-05
88,conjoint_triad_155,4.9609375000882335e-05
89,ARGP820103_158,4.935825892451791e-05
90,conjoint_triad_79,4.838169643106876e-05
91,conjoint_triad_89,4.72098214289648e-05
92,conjoint_triad_50,4.5535714289113904e-05
93,amino_acid_composition_4,4.386160715067061e-05
94,conjoint_triad_204,3.791852678708224e-05
95,conjoint_triad_114,3.769531249993236e-05
96,conjoint_triad_254,3.510044642784345e-05
97,amino_acid_composition_14,3.233816964174354e-05
98,conjoint_triad_310,2.416294642841957e-05
99,conjoint_triad_61,2.3158482141675225e-05
100,ARGP820103_253,2.2907366069893456e-05
101,conjoint_triad_247,2.1986607141578992e-05
102,conjoint_triad_205,2.1121651784865944e-05
103,conjoint_triad_13,2.047991071312791e-05
104,conjoint_triad_99,1.4313616071459992e-05
105,amino_acid_composition_5,1.3950892858272556e-05
106,amino_acid_composition_9,1.2500000000808038e-05
107,amino_acid_composition_15,1.1328125001013642e-05
108,conjoint_triad_72,7.924107143113896e-06
109,conjoint_triad_150,6.891741070980335e-06
110,conjoint_triad_14,5.580357140783874e-06
111,conjoint_triad_74,5.078125001098055e-06
112,conjoint_triad_171,4.380580358720266e-06
113,conjoint_triad_40,2.7901785731770126e-06
114,conjoint_triad_162,1.5066964293986222e-06
115,conjoint_triad_115,4.1852678549512333e-07
116,conjoint_triad_230,0.0
117,conjoint_triad_80,0.0
118,conjoint_triad_277,0.0
119,conjoint_triad_91,0.0
120,conjoint_triad_90,0.0
121,conjoint_triad_278,0.0
122,conjoint_triad_88,0.0
123,conjoint_triad_87,0.0
124,conjoint_triad_86,0.0
125,conjoint_triad_279,0.0
126,conjoint_triad_84,0.0
127,conjoint_triad_83,0.0
128,conjoint_triad_82,0.0
129,conjoint_triad_81,0.0
130,conjoint_triad_280,0.0
131,conjoint_triad_94,0.0
132,conjoint_triad_78,0.0
133,conjoint_triad_77,0.0
134,conjoint_triad_76,0.0
135,conjoint_triad_75,0.0
136,conjoint_triad_281,0.0
137,conjoint_triad_282,0.0
138,conjoint_triad_283,0.0
139,conjoint_triad_284,0.0
140,conjoint_triad_70,0.0
141,conjoint_triad_285,0.0
142,conjoint_triad_286,0.0
143,conjoint_triad_287,0.0
144,conjoint_triad_93,0.0
145,conjoint_triad_95,0.0
146,conjoint_triad_123,0.0
147,conjoint_triad_266,0.0
148,conjoint_triad_121,0.0
149,conjoint_triad_263,0.0
150,conjoint_triad_119,0.0
151,conjoint_triad_118,0.0
152,conjoint_triad_117,0.0
153,conjoint_triad_116,0.0
